# 03/22/2024_16:16:10
# Current directory: /content/drive/MyDrive/IDC_MSc/Year1/DataStreamingAlgorithms/DeezyMatchDataset
# ------------------
# Arguments:
# input_file_path: /content/drive/MyDrive/IDC_MSc/Year1/DataStreamingAlgorithms/DeezyMatchDataset/train_conf.yaml
# dataset_path: /content/drive/MyDrive/IDC_MSc/Year1/DataStreamingAlgorithms/DeezyMatchDataset/wikigaz_valid_set.txt
# model_name: wikigaz_en_model
# pretrained_model_path: /content/drive/MyDrive/IDC_MSc/Year1/DataStreamingAlgorithms/DeezyMatchDataset/models/wikigaz_en_model/wikigaz_en_model.model
# pretrained_vocab_path: /content/drive/MyDrive/IDC_MSc/Year1/DataStreamingAlgorithms/DeezyMatchDataset/models/wikigaz_en_model/wikigaz_en_model.vocab
# n_train_examples: None
# ------------------
03/22/2024_16:16:16 -- Epoch: 1/5; Train; loss: 0.088; acc: 0.969; precision: 0.968, recall: 0.970, macrof1: 0.969, weightedf1: 0.969
03/22/2024_16:16:17 -- Epoch: 1/5; Valid; loss: 0.078; acc: 0.972; precision: 0.970, recall: 0.974, macrof1: 0.972, weightedf1: 0.972
03/22/2024_16:16:23 -- Epoch: 2/5; Train; loss: 0.080; acc: 0.972; precision: 0.971, recall: 0.973, macrof1: 0.972, weightedf1: 0.972
03/22/2024_16:16:24 -- Epoch: 2/5; Valid; loss: 0.080; acc: 0.971; precision: 0.969, recall: 0.973, macrof1: 0.971, weightedf1: 0.971
03/22/2024_16:16:30 -- Epoch: 3/5; Train; loss: 0.077; acc: 0.973; precision: 0.972, recall: 0.973, macrof1: 0.973, weightedf1: 0.973
03/22/2024_16:16:31 -- Epoch: 3/5; Valid; loss: 0.079; acc: 0.973; precision: 0.972, recall: 0.975, macrof1: 0.973, weightedf1: 0.973
03/22/2024_16:16:37 -- Epoch: 4/5; Train; loss: 0.073; acc: 0.974; precision: 0.974, recall: 0.974, macrof1: 0.974, weightedf1: 0.974
03/22/2024_16:16:38 -- Epoch: 4/5; Valid; loss: 0.084; acc: 0.969; precision: 0.962, recall: 0.978, macrof1: 0.969, weightedf1: 0.969
03/22/2024_16:16:44 -- Epoch: 5/5; Train; loss: 0.071; acc: 0.975; precision: 0.974, recall: 0.975, macrof1: 0.975, weightedf1: 0.975
03/22/2024_16:16:45 -- Epoch: 5/5; Valid; loss: 0.079; acc: 0.973; precision: 0.971, recall: 0.975, macrof1: 0.973, weightedf1: 0.973
03/22/2024_16:21:12 -- Epoch: 0/0; Test; loss: 0.083; acc: 0.971; precision: 0.972, recall: 0.971, macrof1: 0.971, weightedf1: 0.971
