,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.177119255065918,4.19189453125
a,,,,3.177119255065918,4.19189453125
an,,,,3.177119255065918,4.19189453125
and,,,,3.177119255065918,4.19189453125
apple,appeal,91,5,3.177119255065918,4.19189453125
banana,"{'banana', 'anna'}","{73, 92}",{0},3.177119255065918,4.19189453125
don't,,,,3.177119255065918,4.19189453125
error,"{'perro', 'terror', 'error', 'errors'}","{80, 73}","{0, 2, 3}",3.177119255065918,4.19189453125
have,,,,3.177119255065918,4.19189453125
hope,,,,3.177119255065918,4.19189453125
i,,,,3.177119255065918,4.19189453125
if,,,,3.177119255065918,4.19189453125
in,,,,3.177119255065918,4.19189453125
jerusalem,jerusalem,89,0,3.177119255065918,4.19189453125
lemon,leone,91,0,3.177119255065918,4.19189453125
london,london,92,0,3.177119255065918,4.19189453125
or,,,,3.177119255065918,4.19189453125
pear,paper,89,12,3.177119255065918,4.19189453125
please,"{'please', 'pleased', 'pleasures'}","{88, 92, 86}","{0, 1}",3.177119255065918,4.19189453125
possible,possible,93,17,3.177119255065918,4.19189453125
wanna,anna,89,0,3.177119255065918,4.19189453125
watermelon,"{'waterman', 'warren'}","{74, 71}",{0},3.177119255065918,4.19189453125
with,,,,3.177119255065918,4.19189453125
