,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.1938581466674805,4.206576108932495
a,,,,3.1938581466674805,4.206576108932495
an,,,,3.1938581466674805,4.206576108932495
and,,,,3.1938581466674805,4.206576108932495
apple,appeal,91,5.0,3.1938581466674805,4.206576108932495
banana,"{'anna', 'banana'}","{73, 92}",{0.0},3.1938581466674805,4.206576108932495
don't,,,,3.1938581466674805,4.206576108932495
error,"{'errors', 'error', 'terror', 'perro'}","{80, 73}","{0.0, 2.0, 3.0}",3.1938581466674805,4.206576108932495
have,,,,3.1938581466674805,4.206576108932495
hope,,,,3.1938581466674805,4.206576108932495
i,,,,3.1938581466674805,4.206576108932495
if,,,,3.1938581466674805,4.206576108932495
in,,,,3.1938581466674805,4.206576108932495
jerusalem,jerusalem,89,0.0,3.1938581466674805,4.206576108932495
lemon,leone,91,0.0,3.1938581466674805,4.206576108932495
london,london,92,0.0,3.1938581466674805,4.206576108932495
or,,,,3.1938581466674805,4.206576108932495
pear,paper,89,12.0,3.1938581466674805,4.206576108932495
please,"{'please', 'pleased', 'pleasures'}","{88, 92, 86}","{0.0, 1.0}",3.1938581466674805,4.206576108932495
possible,possible,93,17.0,3.1938581466674805,4.206576108932495
wanna,anna,89,0.0,3.1938581466674805,4.206576108932495
watermelon,"{'waterman', 'warren'}","{74, 71}",{0.0},3.1938581466674805,4.206576108932495
with,,,,3.1938581466674805,4.206576108932495
