,matched_words,match_distance,words_frequency,total_memory_mb,time_sec
a,,,,3.620795249938965,2.8392295837402344
an,,,,3.620795249938965,2.8392295837402344
and,,,,3.620795249938965,2.8392295837402344
apple,"{'papel', 'appealed'}","{4.7146, 6.1974}","[9.0, 4922.0]",3.620795249938965,2.8392295837402344
banana,"{'nabāto', 'bandanna'}","{3.2076, 6.1802}","[18.0, 759.0]",3.620795249938965,2.8392295837402344
don't,,,,3.620795249938965,2.8392295837402344
error,"{'error', 'r'}","{4.2706, 6.4512}","[189.0, 8.0]",3.620795249938965,2.8392295837402344
have,,,,3.620795249938965,2.8392295837402344
hope,,,,3.620795249938965,2.8392295837402344
i,,,,3.620795249938965,2.8392295837402344
if,,,,3.620795249938965,2.8392295837402344
in,,,,3.620795249938965,2.8392295837402344
jerusalem,"{'jerusalem', 'describes'}","{5.5064, 6.7379}","[23.0, 132.0]",3.620795249938965,2.8392295837402344
lemon,"{'lemon', 'leonie'}","{5.673, 6.2809}","[17.0, 17.0]",3.620795249938965,2.8392295837402344
london,"{'london', 'longwy'}","{3.8871, 5.7876}","[17.0, 17.0]",3.620795249938965,2.8392295837402344
or,,,,3.620795249938965,2.8392295837402344
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[9.0, 9.0]",3.620795249938965,2.8392295837402344
please,"{'settles', 'spieletester.com'}","{5.075, 5.0393}","[35.0, 35.0]",3.620795249938965,2.8392295837402344
possible,"{'ps', 'pose'}","{7.2907, 7.2001}","[9.0, 9.0]",3.620795249938965,2.8392295837402344
wanna,,,,3.620795249938965,2.8392295837402344
watermelon,"{'warned', 'trawled'}","{7.5992, 7.4863}","[4.0, 103.0]",3.620795249938965,2.8392295837402344
with,,,,3.620795249938965,2.8392295837402344
