,matched_words,matched_scores,words_frequency,time_sec
I,,,,0.544044017791748
a,,,,0.544044017791748
an,,,,0.544044017791748
and,,,,0.544044017791748
apple,appeal,91,5,0.544044017791748
banana,"{'lannan', 'ananda'}",{77},{0},0.544044017791748
don't,,,,0.544044017791748
error,"{'error', 'errol', 'errors'}","{80, 73}","{0, 2, 3}",0.544044017791748
have,,,,0.544044017791748
hope,,,,0.544044017791748
i,,,,0.544044017791748
if,,,,0.544044017791748
in,,,,0.544044017791748
jerusalem,jerusalem,89,0,0.544044017791748
lemon,"{'leone', 'lone', 'lemmon', 'lemon'}","{80, 83, 91}","{0, 1}",0.544044017791748
london,london,92,0,0.544044017791748
or,,,,0.544044017791748
pear,"{'pajer', 'paper'}",{89},"{0, 7}",0.544044017791748
please,please,92,0,0.544044017791748
possible,possible,93,22,0.544044017791748
wanna,"{'wanna', 'anna'}","{89, 100}",{0},0.544044017791748
watermelon,warren,71,0,0.544044017791748
with,,,,0.544044017791748
