,matched_words,matched_scores,words_frequency,time_sec,total_memory_mb
I,,,,1.9600939750671387,9.438606262207031
a,,,,1.9600939750671387,9.438606262207031
an,,,,1.9600939750671387,9.438606262207031
and,,,,1.9600939750671387,9.438606262207031
apple,appeal,91,13,1.9600939750671387,9.438606262207031
banana,"{'gannan', 'qiannan', 'bandanna', 'nana', 'anna'}","{80, 73, 77, 71}","{0, 1}",1.9600939750671387,9.438606262207031
don't,,,,1.9600939750671387,9.438606262207031
error,"{'error', 'errors'}","{80, 73}","{2, 4}",1.9600939750671387,9.438606262207031
have,,,,1.9600939750671387,9.438606262207031
hope,,,,1.9600939750671387,9.438606262207031
i,,,,1.9600939750671387,9.438606262207031
if,,,,1.9600939750671387,9.438606262207031
in,,,,1.9600939750671387,9.438606262207031
jerusalem,jerusalem,89,0,1.9600939750671387,9.438606262207031
lemon,leone,91,0,1.9600939750671387,9.438606262207031
london,london,92,0,1.9600939750671387,9.438606262207031
or,,,,1.9600939750671387,9.438606262207031
pear,paper,89,7,1.9600939750671387,9.438606262207031
please,please,92,1,1.9600939750671387,9.438606262207031
possible,possible,93,30,1.9600939750671387,9.438606262207031
wanna,"{'hanna', 'ann', 'anna'}","{80, 89, 75}",{0},1.9600939750671387,9.438606262207031
watermelon,"{'warren', 'wartel'}",{71},{0},1.9600939750671387,9.438606262207031
with,,,,1.9600939750671387,9.438606262207031
