,matched_words,matched_scores,words_frequency,time_sec,total_memory_mb
I,,,,1.9101061820983887,3.5396041870117188
a,,,,1.9101061820983887,3.5396041870117188
an,,,,1.9101061820983887,3.5396041870117188
and,,,,1.9101061820983887,3.5396041870117188
apple,,,,1.9101061820983887,3.5396041870117188
banana,"{'bandanas', 'bannon', 'bafana', 'annan'}","{80, 83, 77}","{0.0, 1.0}",1.9101061820983887,3.5396041870117188
don't,,,,1.9101061820983887,3.5396041870117188
error,error,80,0.0,1.9101061820983887,3.5396041870117188
have,,,,1.9101061820983887,3.5396041870117188
hope,,,,1.9101061820983887,3.5396041870117188
i,,,,1.9101061820983887,3.5396041870117188
if,,,,1.9101061820983887,3.5396041870117188
in,,,,1.9101061820983887,3.5396041870117188
jerusalem,jerusalem,89,0.0,1.9101061820983887,3.5396041870117188
lemon,"{'leone', 'lemond'}","{83, 91}",{0.0},1.9101061820983887,3.5396041870117188
london,london,92,0.0,1.9101061820983887,3.5396041870117188
or,,,,1.9101061820983887,3.5396041870117188
pear,paper,89,9.0,1.9101061820983887,3.5396041870117188
please,please,92,1.0,1.9101061820983887,3.5396041870117188
possible,possible,93,20.0,1.9101061820983887,3.5396041870117188
wanna,"{'wanna', 'anna'}","{89, 100}",{0.0},1.9101061820983887,3.5396041870117188
watermelon,warren,71,0.0,1.9101061820983887,3.5396041870117188
with,,,,1.9101061820983887,3.5396041870117188
