,matched_words,matched_scores,words_frequency,time_sec
I,,,,0.4465200901031494
a,,,,0.4465200901031494
an,,,,0.4465200901031494
and,,,,0.4465200901031494
apple,appeal,91,3.0,0.4465200901031494
banana,"{'bana', 'banana', 'bannon', 'brannan', 'anynana'}","{73, 92, 77, 86}","{0.0, 1.0}",0.4465200901031494
don't,,,,0.4465200901031494
error,"{'error', 'perron', 'terror', 'errors'}","{80, 73}","{0.0, 1.0}",0.4465200901031494
have,,,,0.4465200901031494
hope,,,,0.4465200901031494
i,,,,0.4465200901031494
if,,,,0.4465200901031494
in,,,,0.4465200901031494
jerusalem,"{'jetstream', 'jerusalem', 'realm', 'jeremy'}","{89, 67, 71}",{0.0},0.4465200901031494
lemon,"{'lemmon', 'lemond', 'leon', 'lone'}","{80, 83}","{0.0, 2.0}",0.4465200901031494
london,london,92,0.0,0.4465200901031494
or,,,,0.4465200901031494
pear,paper,89,5.0,0.4465200901031494
please,please,92,2.0,0.4465200901031494
possible,possible,93,12.0,0.4465200901031494
wanna,anna,89,0.0,0.4465200901031494
watermelon,"{'waterloo', 'waterman'}",{74},{0.0},0.4465200901031494
with,,,,0.4465200901031494
