,matched_words,match_distance,words_frequency,time_sec
a,,,,12.98572587966919
an,,,,12.98572587966919
and,,,,12.98572587966919
apple,"{'citadel', 'papel', 'appealed'}","{4.7146, 6.1974, 7.4045}","[256.0, 9.0, 4922.0]",12.98572587966919
banana,"{'nabāto', 'banned', 'bandanna'}","{3.2076, 6.1802, 7.6411}","[18.0, 759.0, 759.0]",12.98572587966919
don't,,,,12.98572587966919
error,"{'error', 'r'}","{4.2706, 6.4512}","[189.0, 8.0]",12.98572587966919
have,,,,12.98572587966919
hope,,,,12.98572587966919
i,,,,12.98572587966919
if,,,,12.98572587966919
in,,,,12.98572587966919
jerusalem,"{'describe', 'jerusalem', 'describes'}","{5.5064, 6.7379, 6.7698}","[132.0, 23.0, 132.0]",12.98572587966919
lemon,"{'lemon', 'leonard', 'leonie'}","{5.673, 6.2809, 6.5855}","[17.0, 17.0, 17.0]",12.98572587966919
london,"{'london', 'longwy'}","{3.8871, 5.7876, 6.459}","[17.0, 17.0]",12.98572587966919
or,,,,12.98572587966919
pear,"{'parker', 'parameter', 'parameters'}","{3.4475, 4.5089, 4.6056}","[9.0, 9.0, 9.0]",12.98572587966919
please,"{'settles', 'spieletester.com', 'islanders'}","{5.075, 5.1571, 5.0393}","[35.0, 35.0, 44.0]",12.98572587966919
possible,"{'posed', 'ps', 'pose'}","{7.739, 7.2907, 7.2001}","[9.0, 9.0, 9.0]",12.98572587966919
wanna,,,,12.98572587966919
watermelon,"{'rae', 'warned', 'trawled'}","{8.0578, 7.5992, 7.4863}","[8.0, 4.0, 103.0]",12.98572587966919
with,,,,12.98572587966919
