,matched_words,match_distance,words_frequency,time_sec,total_memory_mb
a,,,,2.8770864009857178,3.527390480041504
an,,,,2.8770864009857178,3.527390480041504
and,,,,2.8770864009857178,3.527390480041504
apple,{'appealed'},{6.1974},[5252.0],2.8770864009857178,3.527390480041504
banana,"{'banana', 'nana'}","{3.6072, 5.6122}","[760.0, 8.0]",2.8770864009857178,3.527390480041504
don't,,,,2.8770864009857178,3.527390480041504
error,{'error'},"{3.784, 4.2706}",[172.0],2.8770864009857178,3.527390480041504
have,,,,2.8770864009857178,3.527390480041504
hope,,,,2.8770864009857178,3.527390480041504
i,,,,2.8770864009857178,3.527390480041504
if,,,,2.8770864009857178,3.527390480041504
in,,,,2.8770864009857178,3.527390480041504
jerusalem,"{'veljanovski', 'jerusalem'}","{5.5064, 5.1666}","[148.0, 9.0]",2.8770864009857178,3.527390480041504
lemon,"{'leone', 'llwyndyrys'}","{4.8598, 5.7262}","[4.0, 4.0]",2.8770864009857178,3.527390480041504
london,"{'olof', 'london'}","{8.3013, 3.8871}","[3.0, 4.0]",2.8770864009857178,3.527390480041504
or,,,,2.8770864009857178,3.527390480041504
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[6.0, 6.0]",2.8770864009857178,3.527390480041504
please,"{'settles', ""stallion's""}","{4.9562, 5.0393}","[21.0, 21.0]",2.8770864009857178,3.527390480041504
possible,"{'spoiling', 'superimposed'}","{6.591, 6.6429}","[21.0, 21.0]",2.8770864009857178,3.527390480041504
wanna,,,,2.8770864009857178,3.527390480041504
watermelon,"{'qara', 'warned'}","{7.632, 7.5992}","[2.0, 0.0]",2.8770864009857178,3.527390480041504
with,,,,2.8770864009857178,3.527390480041504
