,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.179922103881836,4.173983812332153
a,,,,3.179922103881836,4.173983812332153
an,,,,3.179922103881836,4.173983812332153
and,,,,3.179922103881836,4.173983812332153
apple,appeal,91,9,3.179922103881836,4.173983812332153
banana,"{'bangunan', 'bandanna', 'lannan', 'bananas'}","{80, 77, 86}","{0, 1, 2}",3.179922103881836,4.173983812332153
don't,,,,3.179922103881836,4.173983812332153
error,"{'rirwof', 'rnrhof', 'error', 'errors'}","{80, 73}","{0, 1, 3}",3.179922103881836,4.173983812332153
have,,,,3.179922103881836,4.173983812332153
hope,,,,3.179922103881836,4.173983812332153
i,,,,3.179922103881836,4.173983812332153
if,,,,3.179922103881836,4.173983812332153
in,,,,3.179922103881836,4.173983812332153
jerusalem,jerusalem,89,0,3.179922103881836,4.173983812332153
lemon,lemon,91,0,3.179922103881836,4.173983812332153
london,london,92,0,3.179922103881836,4.173983812332153
or,,,,3.179922103881836,4.173983812332153
pear,paper,89,15,3.179922103881836,4.173983812332153
please,please,92,1,3.179922103881836,4.173983812332153
possible,possible,93,29,3.179922103881836,4.173983812332153
wanna,,,,3.179922103881836,4.173983812332153
watermelon,waterloo,74,0,3.179922103881836,4.173983812332153
with,,,,3.179922103881836,4.173983812332153
