,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.1908349990844727,6.007543325424194
a,,,,3.1908349990844727,6.007543325424194
an,,,,3.1908349990844727,6.007543325424194
and,,,,3.1908349990844727,6.007543325424194
apple,appeal,91,5.0,3.1908349990844727,6.007543325424194
banana,"{'lannan', 'ananda'}",{77},{0.0},3.1908349990844727,6.007543325424194
don't,,,,3.1908349990844727,6.007543325424194
error,"{'errors', 'errol', 'error'}","{80, 73}","{0.0, 2.0, 3.0}",3.1908349990844727,6.007543325424194
have,,,,3.1908349990844727,6.007543325424194
hope,,,,3.1908349990844727,6.007543325424194
i,,,,3.1908349990844727,6.007543325424194
if,,,,3.1908349990844727,6.007543325424194
in,,,,3.1908349990844727,6.007543325424194
jerusalem,jerusalem,89,0.0,3.1908349990844727,6.007543325424194
lemon,"{'lemon', 'leone', 'lemmon', 'lone'}","{80, 83, 91}","{0.0, 1.0}",3.1908349990844727,6.007543325424194
london,london,92,0.0,3.1908349990844727,6.007543325424194
or,,,,3.1908349990844727,6.007543325424194
pear,"{'pajer', 'paper'}",{89},"{0.0, 7.0}",3.1908349990844727,6.007543325424194
please,please,92,0.0,3.1908349990844727,6.007543325424194
possible,possible,93,22.0,3.1908349990844727,6.007543325424194
wanna,"{'wanna', 'anna'}","{89, 100}",{0.0},3.1908349990844727,6.007543325424194
watermelon,warren,71,0.0,3.1908349990844727,6.007543325424194
with,,,,3.1908349990844727,6.007543325424194
