,matched_words,match_distance,words_frequency,time_sec
a,,,,11.3075270652771
an,,,,11.3075270652771
and,,,,11.3075270652771
apple,"{""l'appel"", 'appealed', 'applegate'}","{6.8421, 6.1974, 6.521}","[20.0, 4659.0, 4659.0]",11.3075270652771
banana,"{'banana', 'anynana', 'bandwidth'}","{3.6909, 3.6072, 4.9049}","[733.0, 4659.0, 733.0]",11.3075270652771
don't,,,,11.3075270652771
error,"{'r', 'error', 'formed'}","{4.2706, 6.3691, 6.4512}","[5.0, 240.0, 65.0]",11.3075270652771
have,,,,11.3075270652771
hope,,,,11.3075270652771
i,,,,11.3075270652771
if,,,,11.3075270652771
in,,,,11.3075270652771
jerusalem,"{'describe', 'jerusalem', 'describes'}","{5.5064, 6.7379, 6.7698}","[162.0, 24.0, 162.0]",11.3075270652771
lemon,"{'lobeline', 'lemmons', 'lemmon'}","{7.2554, 4.7008, 7.1705}","[20.0, 20.0, 20.0]",11.3075270652771
london,{'london'},"{3.8871, 6.459}",[20.0],11.3075270652771
or,,,,11.3075270652771
pear,"{'parker', 'parameter', 'parameters'}","{3.4475, 4.5089, 4.6056}","[12.0, 12.0, 12.0]",11.3075270652771
please,"{'specimen', 'lipstick', 'settles'}","{5.2818, 5.3385, 5.0393}","[35.0, 20.0, 35.0]",11.3075270652771
possible,"{'pivoxazepam', 'polish–lithuanian', 'subtypes'}","{7.0756, 6.0927, 6.9247}","[12.0, 12.0, 35.0]",11.3075270652771
wanna,"{'hanna', 'ioanna', 'hyena'}","{7.3082, 6.9662, 7.2827}","[40.0, 35.0, 40.0]",11.3075270652771
watermelon,"{'warranted', 'ra', 'warned'}","{8.0194, 7.8379, 7.5992}","[3.0, 5.0, 3.0]",11.3075270652771
with,,,,11.3075270652771
