,matched_words,match_distance,words_frequency,total_memory_mb,time_sec
a,,,,3.5896711349487305,2.7022552490234375
an,,,,3.5896711349487305,2.7022552490234375
and,,,,3.5896711349487305,2.7022552490234375
apple,"{'citadel', 'appice'}","{6.5476, 7.4045}","[440.0, 5049.0]",3.5896711349487305,2.7022552490234375
banana,"{'banana', 'three-month'}","{3.6072, 7.6065}","[947.0, 94.0]",3.5896711349487305,2.7022552490234375
don't,,,,3.5896711349487305,2.7022552490234375
error,{'error'},"{3.784, 4.2706}",[248.0],3.5896711349487305,2.7022552490234375
have,,,,3.5896711349487305,2.7022552490234375
hope,,,,3.5896711349487305,2.7022552490234375
i,,,,3.5896711349487305,2.7022552490234375
if,,,,3.5896711349487305,2.7022552490234375
in,,,,3.5896711349487305,2.7022552490234375
jerusalem,"{'jerisheh', 'jerusalem'}","{5.5064, 5.3275}","[55.0, 55.0]",3.5896711349487305,2.7022552490234375
lemon,"{'leone', 'leonard'}","{4.8598, 6.5855}","[38.0, 38.0]",3.5896711349487305,2.7022552490234375
london,{'london'},"{3.8871, 6.459}",[38.0],3.5896711349487305,2.7022552490234375
or,,,,3.5896711349487305,2.7022552490234375
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[54.0, 54.0]",3.5896711349487305,2.7022552490234375
please,"{'safeties', 'peeresses'}","{5.3401, 5.0674}","[33.0, 54.0]",3.5896711349487305,2.7022552490234375
possible,"{'pooja', 'superimposed'}","{5.682, 6.591}","[54.0, 33.0]",3.5896711349487305,2.7022552490234375
wanna,"{'wanna', 'with'}","{0.0, 8.135}","[59.0, 59.0]",3.5896711349487305,2.7022552490234375
watermelon,"{'rhetoric', 'warned'}","{7.8103, 7.5992}","[20.0, 59.0]",3.5896711349487305,2.7022552490234375
with,,,,3.5896711349487305,2.7022552490234375
