,matched_words,match_distance,words_frequency,time_sec,total_memory_mb
a,,,,1.7609460353851318,0.00406646728515625
an,,,,1.7609460353851318,0.00406646728515625
and,,,,1.7609460353851318,0.00406646728515625
apple,"{'appel', 'appell'}","{0.0, 3.4251}","[4949.0, 4949.0]",1.7609460353851318,0.00406646728515625
banana,"{'anhydrous', 'nana'}","{5.6122, 7.2885}","[4949.0, 26.0]",1.7609460353851318,0.00406646728515625
don't,,,,1.7609460353851318,0.00406646728515625
error,"{'r', 'formed'}","{6.3691, 6.4512}","[3.0, 87.0]",1.7609460353851318,0.00406646728515625
have,,,,1.7609460353851318,0.00406646728515625
hope,,,,1.7609460353851318,0.00406646728515625
i,,,,1.7609460353851318,0.00406646728515625
if,,,,1.7609460353851318,0.00406646728515625
in,,,,1.7609460353851318,0.00406646728515625
jerusalem,"{'veljanovski', 'jerusalem'}","{5.5064, 5.1666}","[203.0, 27.0]",1.7609460353851318,0.00406646728515625
lemon,"{'leone', 'lerone'}","{4.8598, 7.172}","[20.0, 20.0]",1.7609460353851318,0.00406646728515625
london,{'london'},"{3.8871, 6.459}",[20.0],1.7609460353851318,0.00406646728515625
or,,,,1.7609460353851318,0.00406646728515625
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[10.0, 10.0]",1.7609460353851318,0.00406646728515625
please,"{'settles', 'please'}","{4.9487, 5.0393}","[80.0, 10.0]",1.7609460353851318,0.00406646728515625
possible,"{'pooja', 'pose'}","{4.692, 5.682}","[10.0, 10.0]",1.7609460353851318,0.00406646728515625
wanna,"{'wanna', 'mangena'}","{0.0, 5.3061}","[2.0, 332.0]",1.7609460353851318,0.00406646728515625
watermelon,{'warned'},{7.5992},[2.0],1.7609460353851318,0.00406646728515625
with,,,,1.7609460353851318,0.00406646728515625
